author,chapter,sentence,title
Herman Melville,CHAPTER 1. Loomings.,Call me Ishmael.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Some years ago--never mind how long precisely--having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,It is a way I have of driving off the spleen and regulating the circulation.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off--then, I account it high time to get to sea as soon as I can.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,This is my substitute for pistol and ball.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,With a philosophical flourish Cato throws himself upon his sword; I quietly take to the ship.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,There is nothing surprising in this.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs--commerce surrounds it with her surf.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Right and left, the streets take you waterward.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Look at the crowds of water-gazers there.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Circumambulate the city of a dreamy Sabbath afternoon.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"What do you see?--Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men fixed in ocean reveries.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"But these are all landsmen; of week days pent up in lath and plaster--tied to counters, nailed to benches, clinched to desks.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,How then is this?,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Are the green fields gone?,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,What do they here?,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,But look!,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"here come more crowds, pacing straight for the water, and seemingly bound for a dive.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Strange!,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suffice.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,No.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,They must get just as nigh the water as they possibly can without falling in.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,And there they stand--miles of them--leagues.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Inlanders all, they come from lanes and alleys, streets and avenues--north, east, south, and west.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Yet here they all unite.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Once more.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,Say you are in the country; in some high land of lakes.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Take almost any path you please, and ten to one it carries you down in a dale, and leaves you there by a pool in the stream.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,There is magic in it.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Let the most absent-minded of men be plunged in his deepest reveries--stand that man on his legs, set his feet a-going, and he will infallibly lead you to water, if water there be in all that region.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Should you ever be athirst in the great American desert, try this experiment, if your caravan happen to be supplied with a metaphysical professor.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Yes, as every one knows, meditation and water are wedded for ever.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,But here is an artist.,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"He desires to paint you the dreamiest, shadiest, quietest, most enchanting bit of romantic landscape in all the valley of the Saco.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,What is the chief element he employs?,MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"There stand his trees, each with a hollow trunk, as if a hermit and a crucifix were within; and here sleeps his meadow, and there sleep his cattle; and up from yonder cottage goes a sleepy smoke.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Deep into distant woodlands winds a mazy way, reaching to overlapping spurs of mountains bathed in their hill-side blue.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"But though the picture lies thus tranced, and though this pine-tree shakes down its sighs like leaves upon this shepherd's head, yet all were vain, unless the shepherd's eye were fixed upon the magic stream before him.",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Go visit the Prairies in June, when for scores on scores of miles you wade knee-deep among Tiger-lilies--what is the one charm wanting?--Water--there is not a drop of water there!",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Were Niagara but a cataract of sand, would you travel your thousand miles to see it?",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Why did the poor poet of Tennessee, upon suddenly receiving two handfuls of silver, deliberate whether to buy him a coat, which he sadly needed, or invest his money in a pedestrian trip to Rockaway Beach?",MOBY DICK; OR THE WHALE
Herman Melville,CHAPTER 1. Loomings.,"Why is almost every robust healthy boy with a robust healthy soul in him, at some time or other crazy to go to sea?",MOBY DICK; OR THE WHALE
