chapter,sentence,title
Chapter 1. Marseilles—The Arrival,"On the 24th of February, 1815, the look-out at Notre-Dame de la Garde signalled the three-master, the Pharaon from Smyrna, Trieste, and Naples.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"As usual, a pilot put off immediately, and rounding the Château d’If, got on board the vessel between Cape Morgiou and Rion island.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Immediately, and according to custom, the ramparts of Fort Saint-Jean were covered with spectators; it is always an event at Marseilles for a ship to come into port, especially when this ship, like the Pharaon, has been built, rigged, and laden at the old Phocee docks, and belongs to an owner of the city.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"The ship drew on and had safely passed the strait, which some volcanic shock has made between the Calasareigne and Jaros islands; had doubled Pomègue, and approached the harbor under topsails, jib, and spanker, but so slowly and sedately that the idlers, with that instinct which is the forerunner of evil, asked one another what misfortune could have happened on board.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"However, those experienced in navigation saw plainly that if any accident had occurred, it was not to the vessel herself, for she bore down with all the evidence of being skilfully handled, the anchor a-cockbill, the jib-boom guys already eased off, and standing by the side of the pilot, who was steering the Pharaon towards the narrow entrance of the inner port, was a young man, who, with activity and vigilant eye, watched every motion of the ship, and repeated each direction of the pilot.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"The vague disquietude which prevailed among the spectators had so much affected one of the crowd that he did not await the arrival of the vessel in harbor, but jumping into a small skiff, desired to be pulled alongside the Pharaon, which he reached as she rounded into La Réserve basin.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"When the young man on board saw this person approach, he left his station by the pilot, and, hat in hand, leaned over the ship’s bulwarks.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"He was a fine, tall, slim young fellow of eighteen or twenty, with black eyes, and hair as dark as a raven’s wing; and his whole appearance bespoke that calmness and resolution peculiar to men accustomed from their cradle to contend with danger.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Ah, is it you, Dantès?” cried the man in the skiff.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,“What’s the matter?,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"and why have you such an air of sadness aboard?” “A great misfortune, M. Morrel,” replied the young man, “a great misfortune, for me especially!",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Off Civita Vecchia we lost our brave Captain Leclere.” “And the cargo?” inquired the owner, eagerly.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Is all safe, M. Morrel; and I think you will be satisfied on that head.",THE COUNT OF MONTE CRISTO
