author,chapter,sentence,title
Jane Austen,Chapter 1,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered the rightful property of some one or other of their daughters.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,Mr. Bennet replied that he had not.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,Mr. Bennet made no answer.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Do you not want to know who has taken it?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,cried his wife impatiently.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""_You_ want to tell me, and I have no objection to hearing it.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,This was invitation enough.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it, that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""What is his name?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Bingley.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Is he married or single?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Oh!",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"Single, my dear, to be sure!",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,A single man of large fortune; four or five thousand a year.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"What a fine thing for our girls!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""How so?",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"How can it affect them?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"You must know that I am thinking of his marrying one of them.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Is that his design in settling here?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Design!",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"Nonsense, how can you talk so!",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""I see no occasion for that.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley may like you the best of the party.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""My dear, you flatter me.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now.",PRIDE AND PREJUDICE
